,Sp1,Sp2,Sp3
s1-2,"Mit dem Kauf dieser Produkte untertützen sie Kinderarbeit und extremen Konsumerismus. Herzlichen Glückwunsch!	",Gratulation! Mit ihrem Einkauf auf dieser Seite unterstützen sie einen Betrieb die die Menschenrechte zu seinen Limits streckt! ,Diese Firma kennt keine Menschenrechte und spart auch bei Qualität und Umweltfreundlichkeit so viel sie können um ihnen billige Produkte zu verkaufen.
s3-4,Mit ihrem Einkauf auf dieser Domain finanzieren sie schlechte Arbeitszustände und Versmutzung der umwelt.,Für die günstigen Waren auf dieser Webseite bezahlen sie mit  Umweltversmutzung und Schlechten Arbeitsumständen für die Angestellten.,Die Besitzerorganisation die sie mit ihrem Einkauf hier unterstützen ist unmenschlich zu ihren Angestellten und versmutzt die Umwelt.
s5-6,Mit ihrer Ausgabe auf dieser Webseite geben sie ihr Geld in die Hände einer mittelmässigen Firma.,Indem sie die Besitzer dieser Webseite Unterstützen geben sie einer mittelmässigen Firma Geld.,Wenn sie auf dieser Seite einkaufen unterstützen sie ein umweltverschmutzendes Betrieb mit durchsnittlichen Arbeitszuständen.
s7-8,Wenn sie Produktie von dieser Seite kaufen unterstützen sie tolle Arbeitsgeber und eine Ethische Kompanie!,Die Besitzer dieser Webseite haben ein gutes Motiv und bieten ihren Arbeitern gute Zustände an.,Mit ihrer Unterstützung wächst dieses umweltschützende Geschäft mit überdurchschnittlichen Arbeitszuständen.
s9-10,Wenn sie hier einkaufen unterstützen sie eine Organisation mit einem excellentem Motiv und perfekter Ethik!,Die Besitzer dieser Domain bieten ihren Angestellten perfekte Zustände um angenehm arbeiten zu können und arbeiten nur mit Ethischen Ressourcen und Produkten.,Dieses Geschäft zu unterstützen ist gleichzustellen mit der Verteidigung der Menschenrechte oder dem Absagen aufs Fliegen.
